Job ID,Timestamp,Pod5,Output,Accuracy,Device,Q-score,Reference,Moves,Remove Map0,Remove Unmapped
36992696,20250416_144747,/project/romano_shared/telomeres/data/Flongle_66/pod5,Flongle_66_qs9_36992696.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/referenceshort.fasta,,,
38215998,20250602_154500,/project/romano_shared/telomeres/data/Flongle_67/pod5,Flongle_67_qs9_38215998.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/referenceshort.fasta,,,
38217398,20250602_172237,/project/romano_shared/telomeres/data/Flongle_67/pod5,Flongle_67_qs9_38217398.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/referenceshort.fasta,moves_enabled,,
38383010,20250609_105739,/project/romano_shared/telomeres/data/Flongle69/pod5,Flongle_69_qs9_38383010.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/referenceshort.fasta,moves_enabled,,
38387727,20250609_131427,/project/romano_shared/telomeres/data/Minion_8/total_pod5,Minion_8_qs9_38387727.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/referenceshort.fasta,moves_enabled,,
38423387,20250612_010556,/project/romano_shared/telomeres/data/Minion_8/total_pod5,Minion_8_qs9_38423387_long_reference.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/reference.fasta,moves_enabled,,
38758629,20250616_131334,/project/romano_shared/telomeres/data/Minion10,Minion_9_qs9_38758629_long_reference.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/reference.fasta,moves_enabled,,
38759147,20250616_144848,/project/romano_shared/telomeres/data/Minion10/combined_pod5,Minion_9_qs9_38759147_long_reference.bam,sup,cuda:all,9,/project/romano_shared/telomeres/akhil/reference_files/reference.fasta,moves_enabled,,
38771149,20250617_113652,/project/romano_shared/telomeres/data/Minion9/combined_pod5,Minion_9_1_qs9_38771149.fastq,hac,cuda:all,9,no_reference,,,
38771150,20250617_120908,/project/romano_shared/telomeres/data/Minion9/minion9_2/palmerton/20250612_1017_MN30908_FBA85131_7565dc89/pod5_skip,Minion_9_2_qs9_38771150.fastq,hac,cuda:all,9,no_reference,,,
38772584,20250617_123231,/project/romano_shared/telomeres/data/Minion10/combined_pod5,Minion_10_qs9_38772584.fastq,hac,cuda:all,9,no_reference,,,
38773451,20250617_150359,/project/romano_shared/telomeres/data/Minion9/minion9_2/palmerton/20250612_1017_MN30908_FBA85131_7565dc89/pod5_skip,Minion_9_2_qs9_38773451.fastq,hac,cuda:all,9,no_reference,,,
38773452,20250617_150419,/project/romano_shared/telomeres/data/Minion9/combined_pod5,Minion_9_1_qs9_38773452.fastq,hac,cuda:all,9,no_reference,,,
38773462,20250617_150949,/project/romano_shared/telomeres/data/Minion9/combined_pod5,Minion_9_1_qs9_38773462.fastq,hac,cuda:all,9,no_reference,,,
38773463,20250617_154152,/project/romano_shared/telomeres/data/Minion9/minion9_2/palmerton/20250612_1017_MN30908_FBA85131_7565dc89/pod5_skip,Minion_9_2_qs9_38773463.fastq,hac,cuda:all,9,no_reference,,,
38773549,20250617_160740,/project/romano_shared/telomeres/data/Minion9/minion9_2/palmerton/20250612_1017_MN30908_FBA85131_7565dc89/pod5_skip,Minion_9_2_qs9_38773549.fastq,hac,cuda:all,9,no_reference,,,
38773550,20250617_162546,/project/romano_shared/telomeres/data/Minion10/combined_pod5,Minion_9_1_qs9_38773550.fastq,hac,cuda:all,9,no_reference,,,
38814779,20250621_231839,/project/romano_shared/telomeres/data/Minion10/combined_pod5,Minion_10_qs9_38814779.fastq,hac,cuda:all,9,no_reference,,,
